"id","description","data_frequency","status","created_at","updated_at","data_type_id","node_id"
"e66592c0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 08:46:05+00","2016-09-29 20:13:52.876+00","35dcdad2-8679-11e6-bda3-ef77801087ee","e662fab0-8679-11e6-a353-2f6c041e2491"
"e6691530-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 08:46:05+00","2016-09-29 20:13:52.877+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","e662fab0-8679-11e6-a353-2f6c041e2491"
"d3d909c0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 06:10:39+00","2016-09-30 18:12:04.582+00","35dcdad0-8679-11e6-bda3-ef77801087ee","d3cbc350-8679-11e6-a353-2f6c041e2491"
"d3d168a0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:22:31+00","2016-09-30 18:12:04.582+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","d3ca3cb0-8679-11e6-a353-2f6c041e2491"
"d3d53930-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:31:29+00","2016-09-30 18:12:04.583+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","d3cb7530-8679-11e6-a353-2f6c041e2491"
"e66851e1-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 08:46:05+00","2016-09-29 19:21:19.649+00","35dcdad0-8679-11e6-bda3-ef77801087ee","e662fab0-8679-11e6-a353-2f6c041e2491"
"c5e8a8b0-867a-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-17 01:06:49+00","2016-09-29 20:13:52.883+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","c5e39fa0-867a-11e6-a353-2f6c041e2491"
"1248ff60-e707-11e6-89c8-314aa4f67f8c","\N","1800000","OFFLINE","2016-07-01 00:00:31+00","2017-01-30 16:24:05.832+00","ed5edee0-e701-11e6-83c1-01ce06e6d17f","ede3ed60-e701-11e6-83c1-01ce06e6d17f"
"e6678e90-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 08:46:05+00","2016-09-29 19:30:42.127+00","35dcdad1-8679-11e6-bda3-ef77801087ee","e662fab0-8679-11e6-a353-2f6c041e2491"
"d3d698c0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:31:29+00","2016-09-30 18:12:04.584+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","d3cb7530-8679-11e6-a353-2f6c041e2491"
"d3db2ca0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 06:10:39+00","2016-09-30 18:12:04.584+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","d3cbc350-8679-11e6-a353-2f6c041e2491"
"d3d33d60-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:31:29+00","2016-10-07 07:43:04.977+00","35dcdad2-8679-11e6-bda3-ef77801087ee","d3cb7530-8679-11e6-a353-2f6c041e2491"
"c5e881a1-867a-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-17 01:06:49+00","2016-09-29 20:13:52.891+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","c5e39fa0-867a-11e6-a353-2f6c041e2491"
"c5e881a0-867a-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-17 01:06:49+00","2016-09-29 19:35:54.918+00","35dcdad0-8679-11e6-bda3-ef77801087ee","c5e39fa0-867a-11e6-a353-2f6c041e2491"
"d3d3b290-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:31:29+00","2016-09-30 18:12:04.584+00","35dcdad1-8679-11e6-bda3-ef77801087ee","d3cb7530-8679-11e6-a353-2f6c041e2491"
"d3db53b0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 06:10:39+00","2016-09-30 18:12:04.584+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","d3cbc350-8679-11e6-a353-2f6c041e2491"
"e66851e0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 08:46:05+00","2016-09-29 20:13:52.902+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","e662fab0-8679-11e6-a353-2f6c041e2491"
"d3d73500-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 06:10:39+00","2016-10-05 12:42:18.933+00","35dcdad2-8679-11e6-bda3-ef77801087ee","d3cbc350-8679-11e6-a353-2f6c041e2491"
"d3d7d140-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 06:10:39+00","2016-09-30 18:12:04.584+00","35dcdad1-8679-11e6-bda3-ef77801087ee","d3cbc350-8679-11e6-a353-2f6c041e2491"
"d3d3b291-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:31:29+00","2016-09-30 18:12:04.585+00","35dcdad0-8679-11e6-bda3-ef77801087ee","d3cb7530-8679-11e6-a353-2f6c041e2491"
"e6678e91-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 08:46:05+00","2016-09-29 20:13:52.905+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","e662fab0-8679-11e6-a353-2f6c041e2491"
